ID,parentID,nameID,scrutinizer,scrutinizerDate,provisional,referenceID,extinct,temporalRangeEnd,lifezone,kingdom,phylum,class,order,superfamily,family,subfamily,tribe,genus,uninomial,species,remarks
6618,6419,6618,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima xylotechna,
6620,6419,6620,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima zesticopa,
6622,3,6622,,,false,5055,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,,,,Idiophantis,,
6625,6622,6625,,,false,5058,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,,,Idiophantis,,Idiophantis acanthopa,
6626,6622,6626,,,false,5059,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,,,Idiophantis,,Idiophantis anisosticta,
6627,6622,6627,,,false,5060,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,,,Idiophantis,,Idiophantis callicarpa,
6628,6622,6628,,,false,5061,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,,,Idiophantis,,Idiophantis carpotoma,
6629,6622,6629,,,false,5062,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,,,Idiophantis,,Idiophantis chalcura,
6630,6622,6630,,,false,5063,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,,,Idiophantis,,Idiophantis chiridota,
6631,6622,6631,,,false,5064,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,,,Idiophantis,,Idiophantis croconota,
6632,6622,6632,,,false,5065,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,,,Idiophantis,,Idiophantis discura,
6633,6622,6633,,,false,5066,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,,,Idiophantis,,Idiophantis disparata,
6634,6622,6634,,,false,5067,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,,,Idiophantis,,Idiophantis eugeniae,
6635,6622,6635,,,false,5068,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,,,Idiophantis,,Idiophantis habrias,
6636,6622,6636,,,false,5069,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,,,Idiophantis,,Idiophantis hemiphaea,
6637,6622,6637,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,,,Idiophantis,,Idiophantis insomnis,
6639,6622,6639,,,false,5071,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,,,Idiophantis,,Idiophantis lomatographa,
6640,6622,6640,,,false,5072,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,,,Idiophantis,,Idiophantis melanosacta,
6641,6622,6641,,,false,5073,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,,,Idiophantis,,Idiophantis pandata,
6642,6622,6642,,,false,5074,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,,,Idiophantis,,Idiophantis paraptila,
6643,6622,6643,,,false,5075,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,,,Idiophantis,,Idiophantis soreuta,
6644,6622,6644,,,false,5076,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,,,Idiophantis,,Idiophantis spectrata,Discrepancy on label data see Clarke 1969b: 199.
